AllocationYear,PooledFundId,OrganizatinonId,ClusterId,FundId,AllocationSurceId,ClusterBudget,TotalNumbProj
2006,87,3,12,1,3,3011841.35,1
2006,87,3,13,1,3,6045025.8,3
2006,89,3,1,1,3,213000.0,1
2006,89,3,4,1,3,1224000.0,1
2006,89,3,6,1,3,4216555.0,2
2006,89,3,7,1,3,840150.0,3
2006,89,3,8,1,3,1439150.0,1
2006,89,3,10,1,3,1357000.0,2
2006,89,3,11,1,3,149800.0,1
2006,89,3,12,1,3,559311.12,2
2006,91,3,6,1,3,177096.0,1
2006,91,3,13,1,3,1000000.0,1
2006,93,3,4,1,3,2115012.0,2
2006,93,3,6,1,3,2699219.0,2
2006,93,3,11,1,3,733700.0,1
2006,106,3,13,1,4,500000.0,1
2006,107,3,4,1,4,500000.0,2
2006,107,3,6,1,4,250000.0,1
2006,107,3,7,1,4,499963.38,2
2006,107,3,9,1,4,250000.0,1
2006,107,3,10,1,4,250000.0,1
2006,107,3,11,1,4,250000.0,1
2007,1,3,5,1,3,323212.0,1
2007,1,3,6,1,3,1075552.0,1
2007,1,3,9,1,3,432697.0,1
2007,1,3,13,1,3,3602946.0,2
2007,3,3,4,1,4,306020.0,1
2007,3,3,6,1,4,2157432.0,1
2007,3,3,7,1,3,1466435.0,1
2007,3,3,7,1,4,717970.0,1
2007,3,3,10,1,4,107000.0,1
2007,3,3,11,1,3,1750000.0,1
2007,3,3,11,1,4,1211406.0,3
2007,5,3,4,1,3,299787.0,1
2007,7,3,4,1,3,5745900.0,2
2007,7,3,5,1,3,250000.0,1
2007,7,3,6,1,3,15366256.0,5
2007,7,3,7,1,3,730462.0,3
2007,7,3,9,1,3,2748081.0,3
2007,7,3,10,1,3,50290.0,1
2007,7,3,10,1,4,1000000.0,1
2007,7,3,11,1,3,556400.0,1
2007,7,3,13,1,3,299707.0,1
2007,10,3,3,1,3,140000.0,1
2007,10,3,4,1,3,100000.0,1
2007,10,3,6,1,3,1260000.0,2
2007,10,3,7,1,3,255000.0,3
2007,10,3,9,1,3,70000.0,1
2007,10,3,11,1,3,175000.0,1
2007,13,3,6,1,4,649998.18,2
2007,13,3,7,1,3,1796080.0,2
2007,13,3,9,1,4,227910.0,1
2007,14,3,6,1,4,8200000.0,3
2007,14,3,13,1,4,300000.0,1
2007,18,3,3,1,4,200000.0,1
2007,18,3,4,1,4,257000.0,2
2007,18,3,6,1,4,799567.0,2
2007,18,3,7,1,4,2185836.12,14
2007,18,3,9,1,4,252000.0,1
2007,18,3,10,1,4,1103300.0,4
2007,18,3,11,1,4,881037.0,4
2007,18,3,12,1,3,184330.0,1
2007,18,3,12,1,4,1099981.58,2
2007,19,3,4,1,3,2081000.0,1
2007,19,3,6,1,3,1411199.0,2
2007,19,3,6,1,4,258940.0,1
2007,19,3,7,1,3,1335026.0,3
2007,19,3,10,1,4,400180.0,1
2007,19,3,12,1,3,1453617.0,1
2007,19,3,12,1,4,319930.0,1
2007,19,3,13,1,3,1000000.0,1
2007,22,3,4,1,3,791693.0,1
2007,22,3,6,1,3,906841.0,1
2007,22,3,11,1,3,554510.0,1
2007,24,3,3,1,4,610487.0,1
2007,24,3,6,1,4,2750412.08,4
2007,24,3,7,1,3,1677450.0,1
2007,24,3,7,1,4,1864450.0,4
2007,24,3,10,1,4,540300.0,2
2007,24,3,11,1,4,548950.0,1
2007,24,3,12,1,4,200000.0,1
2007,24,3,13,1,4,302811.0,2
2007,26,3,6,1,3,1400000.0,2
2007,26,3,6,1,4,2998577.04,2
2007,26,3,7,1,3,4700000.0,4
2007,26,3,7,1,4,2000000.0,2
2007,27,3,3,1,4,1007088.0,1
2007,27,3,4,1,4,5156003.0,2
2007,27,3,6,1,3,2041141.0,1
2007,27,3,6,1,4,7112290.0,2
2007,27,3,7,1,4,9713115.09,9
2007,27,3,8,1,4,4419100.0,1
2007,27,3,9,1,4,1500000.83,1
2007,27,3,10,1,3,1332150.0,1
