FiscalYear,PaidDate,PledgeDate,DonorId,PooledFundId,PledgeAmt,PaidAmt
2010,04-2010,03-2010,188,45,0,80000
2010,04-2010,04-2010,46,45,0,950000
2010,04-2010,04-2010,95,45,0,1987
2010,04-2010,05-2010,29,45,0,384865
2010,04-2010,12-2009,183,27,0,47149500
2010,05-2010,04-2010,126,45,0,1001000
2010,05-2010,04-2010,129,27,0,3365273
2010,05-2010,04-2010,180,45,0,78784
2010,05-2010,05-2010,32,45,0,161186
2010,05-2010,05-2010,162,36,0,3696599
2010,05-2010,05-2010,180,45,0,1534
2010,06-2010,04-2010,158,27,0,5778180
2010,06-2010,04-2010,158,80,0,7991100
2010,06-2010,05-2010,180,45,0,143
2010,06-2010,06-2010,29,45,0,778622
2010,06-2010,06-2010,109,27,0,610500
2010,06-2010,06-2010,129,36,0,747030
2010,06-2010,06-2010,158,36,0,1221001
2010,07-2010,06-2010,129,73,0,760184
2010,07-2010,06-2010,162,105,0,951859
2010,07-2010,07-2010,52,87,0,4317416
2010,07-2010,07-2010,124,27,0,5000000
2010,07-2010,07-2010,124,36,0,9790210
2010,07-2010,07-2010,124,87,0,7342657
2010,07-2010,07-2010,162,87,0,1358475
2010,07-2010,07-2010,175,45,0,100000
2010,08-2010,07-2010,63,87,0,2617200
2010,08-2010,07-2010,86,87,0,1291672
2010,08-2010,08-2010,13,74,0,1803000
2010,08-2010,08-2010,15,74,0,999978
2010,08-2010,08-2010,129,74,0,1459715
2010,08-2010,08-2010,180,45,0,9176
2010,08-2010,08-2010,180,74,0,91743
2010,08-2010,08-2010,183,74,0,7824726
2010,08-2010,09-2010,15,74,0,999978
2010,08-2010,09-2010,28,74,0,103040
2010,08-2010,10-2010,30,45,0,2543
2010,09-2010,03-2010,180,45,0,2329
2010,09-2010,08-2010,86,45,0,127064
2010,09-2010,08-2010,180,74,0,4220
2010,09-2010,09-2010,39,74,0,5000
2010,09-2010,09-2010,52,105,0,876650
2010,09-2010,09-2010,81,74,0,20000000
2010,09-2010,09-2010,114,74,0,12706
2010,09-2010,09-2010,125,74,0,1454880
2010,09-2010,09-2010,180,74,0,17100
2010,09-2010,10-2010,124,87,0,1000000
2010,09-2010,10-2010,129,87,0,1700000
2010,09-2010,10-2010,162,87,0,1200000
2010,09-2010,10-2010,183,87,0,6100000
2010,10-2010,06-2010,86,80,0,1203990
2010,10-2010,08-2010,158,73,0,680272
2010,10-2010,09-2010,180,74,0,663
2010,10-2010,10-2010,124,18,0,2097902
2010,10-2010,10-2010,163,87,0,312157
2010,10-2010,12-2010,86,18,0,1203990
2010,11-2010,10-2010,124,80,0,5314685
2010,11-2010,10-2010,180,45,0,682
2010,11-2010,11-2010,94,74,0,99959
2010,11-2010,11-2010,155,45,0,277777
2010,11-2010,11-2010,180,74,0,101
2010,12-2010,01-2010,162,22,0,437849
2010,12-2010,06-2010,86,27,0,1203990
2010,12-2010,11-2010,88,87,0,2618000
2010,12-2010,11-2010,129,80,0,4813447
2010,12-2010,11-2010,180,74,0,5020
2010,12-2010,12-2010,22,27,0,3346720
2010,12-2010,12-2010,124,27,0,2097902
2010,12-2010,12-2010,124,87,0,700000
2010,12-2010,12-2010,124,80,0,4895100
2010,12-2010,12-2010,129,22,0,1005111
2010,12-2010,12-2010,129,74,0,1751319
2010,12-2010,12-2010,162,18,0,2886174
2010,12-2010,12-2010,162,27,0,5772374
2010,12-2010,12-2010,163,87,0,624024
2010,12-2010,12-2010,180,45,0,20
2010,12-2010,12-2010,180,74,0,2206
2010,12-2010,12-2010,183,27,0,31250000
2010,12-2010,12-2010,183,105,0,792393
2011,01-2011,01-2011,183,80,0,62020000
2011,01-2011,03-2011,30,45,0,61337
2011,01-2011,12-2010,52,87,0,1734755
2011,01-2011,12-2010,52,80,0,2995594
2011,01-2011,12-2010,183,87,0,8267387
2011,01-2012,12-2011,13,105,0,1036272
2011,02-2011,02-2011,129,87,0,5313466
2011,02-2011,02-2011,180,74,0,25493
2011,02-2011,02-2011,183,87,0,16974300
2011,03-2011,01-2011,13,80,0,4062400
2011,03-2011,03-2011,46,45,0,400000
2011,03-2011,03-2011,86,18,0,2074922
2011,03-2011,03-2011,86,27,0,2737186
2011,03-2011,03-2011,86,87,0,1366672
2011,03-2011,03-2011,86,80,0,2737186
2011,03-2011,03-2011,129,27,0,5273184
2011,03-2011,03-2011,129,36,0,1242325
2011,03-2011,03-2011,129,80,0,17689722
2011,03-2011,03-2011,158,22,0,686813
2011,03-2011,03-2011,180,74,0,1000
2011,03-2011,03-2011,183,36,0,8025682
2011,03-2011,04-2011,63,87,0,2811000
2011,03-2011,05-2011,183,80,0,16235000
2011,04-2011,04-2011,13,87,0,3098400
2011,04-2011,04-2011,119,74,0,70316
2011,04-2011,04-2011,162,27,0,17442675
2011,04-2011,05-2011,162,87,0,3754725
2011,05-2011,04-2011,162,80,0,28378774
2011,05-2011,04-2011,183,105,0,1480263
2011,05-2011,05-2011,13,27,0,4268000
2011,05-2011,05-2011,124,27,0,5000000
2011,05-2011,05-2011,124,87,0,6000000
2011,05-2011,05-2011,162,73,0,1275600
2011,05-2011,06-2011,162,18,0,4874075
2011,06-2011,06-2011,86,18,0,1276823
2011,06-2011,06-2011,86,27,0,1986169
2011,06-2011,06-2011,86,87,0,567476
2011,06-2011,06-2011,86,80,0,1276823
2011,06-2011,06-2011,147,22,0,14245
2011,06-2011,06-2011,158,27,0,6760950
2011,06-2011,06-2011,158,80,0,9350250
2011,06-2011,06-2011,163,87,0,588858
2011,07-2011,06-2011,129,74,0,912290
2011,07-2011,06-2011,162,105,0,791550
2011,07-2011,07-2011,52,87,0,5704181
2011,07-2011,07-2011,129,36,0,877712
2011,07-2011,07-2011,129,80,0,5063718
2011,07-2011,12-2010,183,27,0,16004000
2011,08-2011,06-2011,88,36,0,709610
2011,08-2011,07-2011,52,36,0,3687027
2011,08-2011,07-2011,163,36,0,623441
2011,08-2011,07-2011,183,36,0,9787928
2011,08-2011,08-2011,15,87,0,100000
2011,08-2011,08-2011,124,36,0,6875000
2011,08-2011,08-2011,183,87,0,6530400
2011,09-2011,08-2011,124,80,0,8125000
2011,09-2011,08-2011,162,36,0,6159600
2011,09-2011,09-2011,52,87,0,3762439
2011,09-2011,09-2011,73,87,0,75000
2011,09-2011,09-2011,124,87,0,12500000
2011,10-2010,03-2011,116,45,0,10308
2011,10-2011,09-2011,52,36,0,1849246
2011,10-2011,09-2011,158,22,0,682128
2011,10-2011,09-2011,158,36,0,682128
2011,10-2011,09-2011,158,73,0,682128
2011,10-2011,10-2011,86,36,0,682128
2011,10-2011,10-2011,163,87,0,2785515
2011,11-2011,06-2011,183,105,0,958466
2011,11-2011,10-2011,129,74,0,950787
2011,11-2011,10-2011,140,87,0,10000
2011,11-2011,10-2011,163,36,0,1160092
2011,11-2011,11-2011,86,105,0,273597
2011,12-2011,08-2011,180,36,0,93
2011,12-2011,11-2011,86,87,0,665722
2011,12-2011,11-2011,135,87,0,297920
2011,12-2011,12-2011,86,36,0,280000
2011,12-2011,12-2011,86,87,0,803972
2011,12-2011,12-2011,109,27,0,652200
2011,12-2011,12-2011,124,87,0,200000
2011,12-2011,12-2011,124,80,0,6250000
2011,12-2011,12-2011,129,22,0,1011518
2011,12-2011,12-2011,129,27,0,1672097
2011,12-2011,12-2011,129,87,0,10346281
2011,12-2011,12-2011,129,73,0,1701438
2011,12-2011,12-2011,162,67,0,2199674
2011,12-2011,12-2011,162,87,0,4531375
2011,12-2011,12-2011,162,105,0,1440611
2011,12-2011,12-2011,163,105,0,542888
2011,12-2011,12-2011,183,27,0,19371250
2011,12-2011,12-2011,183,87,0,876435
2012,01-2012,01-2012,163,87,0,1280683
2012,01-2012,03-2012,162,88,0,5729974
2012,01-2012,12-2011,22,27,0,5222400
2012,01-2013,12-2012,163,36,0,109769
2012,01-2013,12-2012,183,74,0,4846526
2012,02-2012,02-2012,52,87,0,5332480
2012,02-2012,02-2012,183,87,0,25086400
2012,02-2012,03-2011,183,36,0,12558869
2012,02-2013,01-2013,52,36,0,902391
2012,02-2013,12-2012,52,73,0,1082836
2012,03-2012,02-2012,129,80,0,10735343
2012,03-2012,02-2012,183,88,0,23770500
2012,03-2012,03-2012,13,88,0,4243200
2012,03-2012,03-2012,13,80,0,2121600
2012,03-2012,03-2012,63,87,0,3990600
2012,03-2012,03-2012,86,18,0,1817194
2012,03-2012,03-2012,86,27,0,2466192
2012,03-2012,03-2012,86,87,0,2466192
2012,03-2012,03-2012,86,88,0,1168196
2012,03-2012,03-2012,86,80,0,1168196
2012,03-2012,03-20
