DonorId,FiscalYear,FundType,PaidAmt,PledgeAmt,PledgePaidDate,PooledFundId
32,2010,CBPF,0,161186,05-2010,45
162,2010,CBPF,0,4132231,05-2010,36
180,2010,CBPF,0,1678,05-2010,45
29,2010,CBPF,0,778622,06-2010,45
86,2010,CBPF,0,1192230,06-2010,27
86,2010,CBPF,0,1192230,06-2010,80
109,2010,CBPF,0,610500,06-2010,27
129,2010,CBPF,0,764058,06-2010,36
129,2010,CBPF,0,764058,06-2010,73
158,2010,CBPF,0,1221001,06-2010,36
162,2010,CBPF,0,879176,06-2010,105
52,2010,CBPF,0,4317416,07-2010,87
63,2010,CBPF,0,2462297,07-2010,87
86,2010,CBPF,0,1215222,07-2010,87
124,2010,CBPF,0,5000000,07-2010,27
124,2010,CBPF,0,9790210,07-2010,36
124,2010,CBPF,0,7342657,07-2010,87
162,2010,CBPF,0,1358475,07-2010,87
175,2010,CBPF,0,100000,07-2010,45
158,2010,CBPF,0,6559030,08-2009,27
13,2010,CBPF,0,1806684,08-2010,74
15,2010,CBPF,0,1000000,08-2010,74
86,2010,CBPF,0,131061,08-2010,45
129,2010,CBPF,0,1450469,08-2010,74
158,2010,CBPF,0,655307,08-2010,73
180,2010,CBPF,0,9176,08-2010,45
180,2010,CBPF,0,95963,08-2010,74
183,2010,CBPF,0,7824726,08-2010,74
158,2010,CBPF,0,9115293,09-2009,80
15,2010,CBPF,0,1000000,09-2010,74
28,2010,CBPF,0,103040,09-2010,74
39,2010,CBPF,0,5000,09-2010,74
52,2010,CBPF,0,853242,09-2010,105
81,2010,CBPF,0,20000000,09-2010,74
114,2010,CBPF,0,12706,09-2010,74
125,2010,CBPF,0,1417434,09-2010,74
180,2010,CBPF,0,17763,09-2010,74
30,2010,CBPF,0,2543,10-2010,45
124,2010,CBPF,0,2097902,10-2010,18
124,2010,CBPF,0,1000000,10-2010,87
124,2010,CBPF,0,5314685,10-2010,80
129,2010,CBPF,0,1700000,10-2010,87
162,2010,CBPF,0,1200000,10-2010,87
163,2010,CBPF,0,312157,10-2010,87
180,2010,CBPF,0,682,10-2010,45
183,2010,CBPF,0,6100000,10-2010,87
88,2010,CBPF,0,2716175,11-2010,87
94,2010,CBPF,0,99959,11-2010,74
129,2010,CBPF,0,5091857,11-2010,80
155,2010,CBPF,0,277777,11-2010,45
180,2010,CBPF,0,5121,11-2010,74
22,2010,CBPF,0,1506024,12-2009,27
52,2010,CBPF,0,5060728,12-2009,80
183,2010,CBPF,0,49583308,12-2009,27
22,2010,CBPF,0,3346720,12-2010,27
86,2010,CBPF,0,1278058,12-2010,18
124,2010,CBPF,0,2097902,12-2010,27
124,2010,CBPF,0,700000,12-2010,87
124,2010,CBPF,0,4895100,12-2010,80
129,2010,CBPF,0,1012145,12-2010,22
129,2010,CBPF,0,1771255,12-2010,74
162,2010,CBPF,0,2886174,12-2010,18
162,2010,CBPF,0,5772374,12-2010,27
163,2010,CBPF,0,603151,12-2010,87
180,2010,CBPF,0,20,12-2010,45
180,2010,CBPF,0,2206,12-2010,74
183,2010,CBPF,0,31250000,12-2010,27
183,2010,CBPF,0,777604,12-2010,105
13,2011,CBPF,0,4062400,01-2011,80
183,2011,CBPF,0,62020000,01-2011,80
